iso,country_name,region_GCAM3,GCAM_region_ID,GCAM_region
cze,Czech Republic,Eastern Europe,12,EU-12
deu,Germany,Western Europe,13,EU-15
dji,Djibouti,Africa,2,Africa_Eastern
dma,Dominica,Latin America,9,Central America and Caribbean
dnk,Denmark,Western Europe,13,EU-15
dom,Dominican Republic,Latin America,9,Central America and Caribbean
dza,Algeria,Africa,3,Africa_Northern
ecu,Ecuador,Latin America,26,South America_Southern
egy,Egypt,Africa,3,Africa_Northern
eri,Eritrea,Africa,2,Africa_Eastern
esh,Western Sahara,Africa,3,Africa_Northern
esp,Spain,Western Europe,13,EU-15
est,Estonia,Former Soviet Union,12,EU-12
eth,Ethiopia,Africa,2,Africa_Eastern
fin,Finland,Western Europe,13,EU-15
fji,Fiji,Southeast Asia,29,Southeast Asia
flk,Falkland Islands (Malvinas),Latin America,13,EU-15
fra,France,Western Europe,13,EU-15
fro,Faroe Islands,Western Europe,13,EU-15
fsm,"Micronesia, Federated States of",Southeast Asia,29,Southeast Asia
gab,Gabon,Africa,5,Africa_Western
gbr,United Kingdom,Western Europe,13,EU-15
geo,Georgia,Former Soviet Union,10,Central Asia
ggy,Guernsey,Western Europe,13,EU-15
gha,Ghana,Africa,5,Africa_Western
gib,Gibraltar,Western Europe,13,EU-15
gin,Guinea,Africa,5,Africa_Western
glp,Guadeloupe,Latin America,9,Central America and Caribbean
gmb,Gambia,Africa,5,Africa_Western
gnb,Guinea-Bissau,Africa,5,Africa_Western
gnq,Equatorial Guinea,Africa,5,Africa_Western
grc,Greece,Western Europe,13,EU-15
grd,Grenada,Latin America,9,Central America and Caribbean
grl,Greenland,Western Europe,13,EU-15
gtm,Guatemala,Latin America,9,Central America and Caribbean
guf,French Guiana,Latin America,25,South America_Northern
gum,Guam,Southeast Asia,29,Southeast Asia
guy,Guyana,Latin America,25,South America_Northern
hkg,Hong Kong,Southeast Asia,11,China
hnd,Honduras,Latin America,9,Central America and Caribbean
hrv,Croatia,Eastern Europe,15,Europe_Non_EU
hti,Haiti,Latin America,9,Central America and Caribbean
hun,Hungary,Eastern Europe,12,EU-12
idn,Indonesia,Southeast Asia,18,Indonesia
imn,Isle of Man,Western Europe,13,EU-15
ind,India,India,17,India
irl,Ireland,Western Europe,13,EU-15
irn,"Iran, Islamic Republic of",Middle East,21,Middle East
irq,Iraq,Middle East,21,Middle East
isl,Iceland,Western Europe,16,European Free Trade Association
isr,Israel,Middle East,21,Middle East
ita,Italy,Western Europe,13,EU-15
jam,Jamaica,Latin America,9,Central America and Caribbean
jey,Jersey,Western Europe,13,EU-15
jor,Jordan,Middle East,21,Middle East
jpn,Japan,Japan,19,Japan
kaz,Kazakhstan,Former Soviet Union,10,Central Asia
ken,Kenya,Africa,2,Africa_Eastern
kgz,Kyrgyzstan,Former Soviet Union,10,Central Asia
khm,Cambodia,China,29,Southeast Asia
kir,Kiribati,Southeast Asia,29,Southeast Asia
kna,Saint Kitts and Nevis,Latin America,9,Central America and Caribbean
kor,"Korea, Republic of",Korea,28,South Korea
kwt,Kuwait,Middle East,21,Middle East
lao,Lao Peoples Democratic Republic,Southeast Asia,29,Southeast Asia
lbn,Lebanon,Middle East,21,Middle East
lbr,Liberia,Africa,5,Africa_Western
lby,Libyan Arab Jamahiriya,Africa,3,Africa_Northern
lca,Saint Lucia,Latin America,9,Central America and Caribbean
lie,Liechtenstein,Western Europe,16,European Free Trade Association
lka,Sri Lanka,Southeast Asia,27,South Asia
lso,Lesotho,Africa,4,Africa_Southern
ltu,Lithuania,Former Soviet Union,12,EU-12
lux,Luxembourg,Western Europe,13,EU-15
lva,Latvia,Former Soviet Union,12,EU-12
mac,Macau,Southeast Asia,11,China
mar,Morocco,Africa,3,Africa_Northern
mco,Monaco,Western Europe,13,EU-15
mda,"Moldova, Republic of",Former Soviet Union,14,Europe_Eastern
mdg,Madagascar,Africa,2,Africa_Eastern
mdv,Maldives,Southeast Asia,27,South Asia
mex,Mexico,Latin America,20,Mexico
mhl,Marshall Islands,Southeast Asia,29,Southeast Asia
mkd,"Macedonia, the former Yugoslav Republic of",Eastern Europe,15,Europe_Non_EU
mli,Mali,Africa,5,Africa_Western
mlt,Malta,Western Europe,12,EU-12
mmr,Myanmar,Southeast Asia,29,Southeast Asia
mne,Montenegro,Eastern Europe,15,Europe_Non_EU
mng,Mongolia,China,10,Central Asia
mnp,Northern Mariana Islands,Southeast Asia,29,Southeast Asia
moz,Mozambique,Africa,4,Africa_Southern
mrt,Mauritania,Africa,5,Africa_Western
msr,Montserrat,Latin America,9,Central America and Caribbean
mtq,Martinique,Western Europe,9,Central America and Caribbean
mus,Mauritius,Africa,2,Africa_Eastern
mwi,Malawi,Africa,4,Africa_Southern
mys,Malaysia,Southeast Asia,29,Southeast Asia
myt,Mayotte,Africa,29,Southeast Asia
nam,Namibia,Africa,4,Africa_Southern
ncl,New Caledonia,Southeast Asia,29,Southeast Asia
ner,Niger,Africa,5,Africa_Western
nfk,Norfolk Island,Australia_NZ,29,Southeast Asia
nga,Nigeria,Africa,5,Africa_Western
nic,Nicaragua,Latin America,9,Central America and Caribbean
niu,Niue,Australia_NZ,29,Southeast Asia
nld,Netherlands,Western Europe,13,EU-15
nor,Norway,Western Europe,16,European Free Trade Association
npl,Nepal,Southeast Asia,27,South Asia
nru,Nauru,Southeast Asia,29,Southeast Asia
nzl,New Zealand,Australia_NZ,6,Australia_NZ
omn,Oman,Middle East,21,Middle East
pak,Pakistan,Southeast Asia,22,Pakistan
pan,Panama,Latin America,9,Central America and Caribbean
pci,Pacific Islands Trust Territory,Southeast Asia,29,Southeast Asia
pcn,Pitcairn Islands,Southeast Asia,29,Southeast Asia
per,Peru,Latin America,26,South America_Southern
phl,Philippines,Southeast Asia,29,Southeast Asia
plw,Palau,Southeast Asia,29,Southeast Asia
png,Papua New Guinea,Southeast Asia,29,Southeast Asia
pol,Poland,Eastern Europe,12,EU-12
pri,Puerto Rico,USA,1,USA
prk,"Korea, Democratic Peoples Republic of",China,29,Southeast Asia
prt,Portugal,Western Europe,13,EU-15
pry,Paraguay,Latin America,26,South America_Southern
pse,"Palestinian Territory, Occupied",Middle East,21,Middle East
pyf,French Polynesia,Southeast Asia,29,Southeast Asia
qat,Qatar,Middle East,21,Middle East
reu,Reunion,Africa,2,Africa_Eastern
rom,Romania,Eastern Europe,12,EU-12
rou,Romania,Eastern Europe,12,EU-12
rus,Russian Federation,Former Soviet Union,23,Russia
rwa,Rwanda,Africa,2,Africa_Eastern
sau,Saudi Arabia,Middle East,21,Middle East
scg,Serbia and Montenegro,Eastern Europe,15,Europe_Non_EU
sdn,Sudan,Africa,2,Africa_Eastern
sen,Senegal,Africa,5,Africa_Western
sgp,Singapore,Southeast Asia,29,Southeast Asia
shn,Saint Helena,Africa,13,EU-15
sjm,Svalbard and Jan Mayen Islands,Western Europe,16,European Free Trade Association
slb,Solomon Islands,Southeast Asia,29,Southeast Asia
sle,Sierra Leone,Africa,5,Africa_Western
slv,El Salvador,Latin America,9,Central America and Caribbean
smr,San Marino,Western Europe,13,EU-15
som,Somalia,Africa,2,Africa_Eastern
spm,Saint Pierre and Miquelon,Canada,13,EU-15
srb,Serbia,Eastern Europe,15,Europe_Non_EU
ssd,South Sudan,Africa,2,Africa_Eastern
stp,Sao Tome and Principe,Africa,5,Africa_Western
sur,Suriname,Latin America,25,South America_Northern
svk,Slovakia,Eastern Europe,12,EU-12
svn,Slovenia,Eastern Europe,12,EU-12
swe,Sweden,Western Europe,13,EU-15
swz,Swaziland,Africa,4,Africa_Southern
syc,Seychelles,Africa,29,Southeast Asia
syr,Syrian Arab Republic,Middle East,21,Middle East
tca,Turks and Caicos,Latin America,13,EU-15
tcd,Chad,Africa,5,Africa_Western
tgo,Togo,Africa,5,Africa_Western
tha,Thailand,Southeast Asia,29,Southeast Asia
tjk,Tajikistan,Former Soviet Union,10,Central Asia
tkl,Tokelau,Australia_NZ,29,Southeast Asia
tkm,Turkmenistan,Former Soviet Union,10,Central Asia
tls,Timor Leste,Southeast Asia,29,Southeast Asia
ton,Tonga,Southeast Asia,29,Southeast Asia
tto,Trinidad and Tobago,Latin America,9,Central America and Caribbean
tun,Tunisia,Africa,3,Africa_Northern
tur,Turkey,Western Europe,15,Europe_Non_EU
tuv,Tuvalu,Southeast Asia,29,Southeast Asia
twn,Taiwan,Southeast Asia,30,Taiwan
tza,"Tanzania, United Republic of",Africa,4,Africa_Southern
uga,Uganda,Africa,2,Africa_Eastern
ukr,Ukraine,Former Soviet Union,14,Europe_Eastern
ury,Uruguay,Latin America,26,South America_Southern
usa,United States of America,USA,1,USA
uzb,Uzbekistan,Former Soviet Union,10,Central Asia
vat,Vatican,Western Europe,13,EU-15
vct,Saint Vincent and the Grenadines,Latin America,9,Central America and Caribbean
ven,Venezuela,Latin America,25,South America_Northern
vgb,"Virgin Islands, British",Latin America,13,EU-15
vir,"Virgin Islands, U.S.",Latin America,1,USA
vnm,Viet Nam,China,29,Southeast Asia
vut,Vanuatu,Southeast Asia,29,Southeast Asia
wlf,Wallis and Futuna,Australia_NZ,13,EU-15
wsm,Samoa,Southeast Asia,29,Southeast Asia
yem,Yemen,Middle East,21,Middle East
yug,"Yugoslavia, Federal Republic of",Eastern Europe,15,Europe_Non_EU
zaf,South Africa,Africa,24,South Africa
zmb,Zambia,Africa,4,Africa_Southern
zwe,Zimbabwe,Africa,4,Africa_Southern
